Threshold,ValidPackets,ErrorPackets
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,859100.0,657000.0
4,817000.0,100.0
5,799300.0,0.0
6,794800.0,0.0
7,797100.0,0.0
8,806700.0,100.0
9,804800.0,600.0
10,800800.0,0.0
11,803200.0,0.0
12,689000.0,100.0
13,373200.0,200.0
14,170600.0,0.0
15,142900.0,0.0
16,129400.0,0.0
17,121700.0,0.0
18,111000.0,0.0
19,103600.0,0.0
20,102500.0,0.0
21,93800.0,0.0
22,84400.0,0.0
23,79000.0,100.0
24,78500.0,0.0
25,66800.0,0.0
26,44400.0,0.0
27,25600.0,0.0
28,17000.0,0.0
29,16500.0,0.0
30,15000.0,0.0
31,13100.0,0.0
32,13800.0,0.0
33,13500.0,0.0
34,10200.0,0.0
35,10700.0,0.0
36,8700.0,0.0
37,9900.0,0.0
38,9200.0,0.0
39,7800.0,0.0
40,3700.0,0.0
41,3200.0,0.0
42,2100.0,0.0
43,2200.0,0.0
44,1900.0,0.0
45,2500.0,0.0
46,1500.0,0.0
47,1200.0,0.0
48,1600.0,0.0
49,1400.0,0.0
50,1400.0,0.0
51,500.0,0.0
52,700.0,0.0
53,500.0,0.0
54,300.0,0.0
55,600.0,0.0
56,300.0,0.0
57,300.0,0.0
58,600.0,0.0
59,200.0,0.0
60,300.0,0.0
61,0.0,0.0
62,0.0,0.0
63,100.0,0.0
